"","Country","Year","gdp","fertilityrate","netmigration","unemployment","primaryeducation","mortalityratefemale","mortalityratemale","labourforce","grossfixedcapital","secondaryeducation"
"107","Somalia",1960,180459936.776025,7.25,750,NA,NA,387.567,443.189,NA,NA,NA
"108","Sub-Saharan Africa (excluding high income)",1960,31156300063.1558,6.60909624560719,-91717,NA,NA,404.006654207106,467.761975282186,NA,NA,NA
"109","Sub-Saharan Africa",1960,31167376259.5177,6.60909624560719,-91696,NA,NA,403.989704343381,467.764367756247,NA,NA,NA
"110","Suriname",1960,99650000,6.608,545,NA,NA,303.224,383.73,NA,NA,NA
"111","Sweden",1960,15822585033.5764,2.17,14792,NA,NA,95.025,141.008,NA,4608507703.41333,NA
"112","Eswatini",1960,35076158.4768305,6.752,-2082,NA,NA,400.686,461.559,NA,NA,NA
"113","Seychelles",1960,12012012.012012,NA,21,NA,NA,314.975,480.623,NA,NA,NA
"114","Syrian Arab Republic",1960,857704413.407821,7.485,0,NA,NA,281.474,324.334,NA,NA,NA
"115","Chad",1960,313582729.426485,6.25,-687,NA,NA,421.427,485.325,NA,NA,NA
"116","East Asia & Pacific (IDA & IBRD countries)",1960,81224993497.3985,4.86417865115513,-211579,NA,NA,442.098518247475,550.233943324352,NA,22223594368.676,NA
"117","Togo",1960,121128073.114022,6.717,-13868,NA,NA,373.665,427.577,NA,NA,NA
"118","Thailand",1960,2760747471.88624,6.248,6910,NA,NA,363.288,475.743,NA,356674125.900537,NA
"119","Latin America & the Caribbean (IDA & IBRD countries)",1960,79494964747.4543,5.94488346955977,-184590,NA,NA,257.779181259938,334.510289193356,NA,NA,NA
"120","South Asia (IDA & IBRD)",1960,47156711563.3523,6.07835003512492,44061,NA,NA,391.482526418635,389.353559719549,NA,6556022066.50558,NA
"121","Sub-Saharan Africa (IDA & IBRD countries)",1960,31167376259.5177,6.60909624560719,-91696,NA,NA,403.989704343381,467.764367756247,NA,NA,NA
"122","Trinidad and Tobago",1960,535670127.748935,5.345,-5671,NA,NA,231.777,293.107,NA,NA,NA
"123","Turkiye",1960,13983572895.2772,6.383,-15052,NA,NA,179.181,303.486,NA,NA,NA
"124","Uganda",1960,423008385.744235,6.936,-7586,NA,NA,364.382,450.819,NA,NA,NA
"125","Upper middle income",1960,241947821260.232,4.54875400992202,-328626,NA,NA,364.586724379008,489.759404992391,NA,72756957597.7322,NA
"126","Uruguay",1960,1242289239.20493,2.827,2060,NA,NA,134.354,228.671,NA,0,NA
"127","United States",1960,5.433e+11,3.654,583458,5.5,NA,130.63,233.293,69627,NA,NA
"128","St. Vincent and the Grenadines",1960,13066557.7786852,7.286,-1428,NA,NA,236.751,313.934,NA,NA,NA
"129","Venezuela, RB",1960,7779090909.09091,6.358,8369,NA,NA,254.901,342.564,NA,1865454545.45455,NA
"130","World",1960,1392276589084.81,4.70238295576426,0,NA,NA,302.239178323603,386.341450402857,NA,NA,NA
"131","South Africa",1960,8748596504.23581,6.159,18909,NA,NA,320.929,409.632,NA,1528799389.12234,NA
"132","Zambia",1960,7.13e+08,7.115,-3894,NA,NA,321.924,362.436,NA,NA,NA
"133","Zimbabwe",1960,1052990400,7.22,-8256,NA,NA,298.765,374,NA,213454500,NA
"134","Africa Eastern and Southern",1961,21808704493.2553,6.74275210020318,-1348,NA,NA,379.762566128084,450.437827971961,NA,NA,NA
"135","Afghanistan",1961,548888895.555556,7.284,6109,NA,NA,543.6,594.812,NA,NA,NA
"136","Africa Western and Central",1961,11127894641.0191,6.47151755185967,-41547,NA,NA,426.334865908882,489.001202828852,NA,NA,NA
"137","Australia",1961,19681935267.1072,3.54,64374,NA,NA,109.193,198.798,NA,5961473849.25524,NA
"138","Austria",1961,7311749633.36229,2.78,-2418,NA,NA,113.02,205.943,3371,NA,NA
"139","Burundi",1961,202999992,7.023,15090,NA,NA,375.134,435.493,NA,1.4e+07,NA
"140","Belgium",1961,12400145221.595,2.63,14024,NA,NA,104.955,200.578,3570,NA,NA
"141","Benin",1961,235668222.429984,6.402,-4797,NA,NA,431.48,456.179,NA,NA,NA
"142","Burkina Faso",1961,350247237.11684,6.286,-24796,NA,NA,419.7,478.684,NA,NA,NA
"143","Bangladesh",1961,4817580183.60155,6.831,26505,NA,NA,337.911,314.077,NA,NA,NA
"144","Bahamas, The",1961,190098039.215686,4.866,2548,NA,NA,238.74,348.417,NA,NA,NA
"145","Belize",1961,29964370.7125857,6.48,-374,NA,NA,301.242,312.665,NA,NA,NA
"146","Bermuda",1961,89249986.6972895,NA,397,NA,NA,NA,NA,NA,NA,NA
"147","Bolivia",1961,406684585.719294,6.335,-3636,NA,NA,318.12,408.721,NA,NA,NA
"148","Brazil",1961,17275940449.3837,6.044,369,NA,NA,274.079,349.877,NA,NA,NA
"149","Botswana",1961,32902336.644746,6.597,-4162,NA,NA,325.325,437.297,NA,NA,NA
"150","Central African Republic",1961,123134584.467673,5.828,485,NA,NA,449.253,510.544,NA,NA,NA
"151","Canada",1961,40934952063.9468,3.753,24186,NA,NA,106.471,190.728,6521.25,9177082991.39416,NA
"152","Switzerland",1961,10712712465.0522,2.52,101265,NA,NA,100.078,180.63,NA,NA,NA
"153","Chile",1961,4609727272.72727,4.655,-27959,NA,NA,218.495,313.614,NA,706475243.881818,NA
"154","China",1961,50056868957.6732,3.863,-179064,NA,NA,410.621,521.116,NA,9506428601.02364,NA
"155","Cote d'Ivoire",1961,618245639.221382,7.72,36410,NA,NA,424.471,447.873,NA,NA,NA
"156","Cameroon",1961,652777613.643638,5.705,0,NA,NA,412.445,747.945,NA,NA,NA
"157","Congo, Dem. Rep.",1961,3086746857.14286,6.107,35662,NA,NA,416.18,484.827,NA,NA,NA
"158","Congo, Rep.",1961,151675739.160627,6.093,0,NA,NA,331.625,451.581,NA,NA,NA
"159","Colombia",1961,4540447761.19403,6.712,-49408,NA,NA,240.391,300.392,NA,873846522.38806,NA
"160","Costa Rica",1961,490325181.614275,6.651,1550,NA,NA,197.356,242.815,NA,84412975.7959225,NA
"161","Caribbean small states",1961,2038301741.01721,5.6165904329026,-49945,NA,NA,222.327288955735,285.250564150103,NA,NA,NA
"162","Dominican Republic",1961,654100200,7.487,-8018,NA,NA,265.992,351.87,NA,5.5e+07,NA
"163","Algeria",1961,2434727329.809,7.564,-111448,NA,NA,420.447,585.925,NA,NA,NA
"164","East Asia & Pacific (excluding high income)",1961,71614401108.6732,4.3874305929064,-336673,NA,NA,384.744736453865,487.263470579598,NA,11278491627.495,NA
"165","Early-demographic dividend",1961,159178740736.029,6.1770072919161,-241419,NA,NA,349.791051277617,380.175544623163,NA,NA,NA
"166","East Asia & Pacific",1961,155170778627.41,4.17966685222694,-314303,NA,NA,351.584592704309,452.700338514619,NA,52203481756.4939,NA
"167","Ecuador",1961,1753850416.75551,6.7,-1775,NA,NA,269.193,323.594,NA,213494500.300358,NA
"168","Euro area",1961,268965206140.915,2.63697477266847,-45732,NA,NA,108.276039975388,193.479152788542,NA,NA,NA
"169","Spain",1961,13834300571.4849,2.77,-33339,NA,NA,109.335,172.224,11749,NA,NA
"170","Finland",1961,5921659485.03284,2.72,-10994,NA,NA,118.099,255.175,2137,NA,NA
"171","Fiji",1961,116987784.913739,6.281,-773,NA,NA,296.282,354.119,NA,NA,NA
"172","France",1961,67461644222.0352,2.87,177923,NA,NA,109.188,214.39,18820,16136320415.0983,NA
"173","Gabon",1961,167637908.489803,4.504,0,NA,NA,342.043,397.343,NA,NA,NA
"174","United Kingdom",1961,77741965703.3544,2.78,-1995,NA,NA,110.912,188.075,24265,NA,NA
"175","Ghana",1961,1302521008.40336,6.886,-48780,NA,NA,331.396,406.193,NA,NA,NA
"176","Greece",1961,4961400439.31722,2.13,-67204,NA,NA,111.297,170.524,3616,1101171062.03415,NA
"177","Guatemala",1961,1076699900,6.933,389,NA,NA,378.759,393.246,NA,108900000,NA
"178","Guyana",1961,185848451.262906,6.305,-2025,NA,NA,297.424,388.617,NA,45149623.7531354,NA
"179","High income",1961,1132019012725.27,3.02214073172565,659719,NA,NA,128.317394318822,214.147359816392,NA,NA,NA
"180","Hong Kong SAR, China",1961,1383681651.13776,5.168,11451,NA,NA,153.075,278.106,NA,321652622.591781,NA
"181","Honduras",1961,356200000,7.448,-4842,NA,NA,312.95,388.571,NA,38550000,NA
"182","Heavily indebted poor countries (HIPC)",1961,17790733196.1075,6.72226561546473,-79670,NA,NA,401.953474332082,471.582492294705,NA,NA,NA
"183","Haiti",1961,271066000,6.2,-15162,NA,NA,324.369,407.8,NA,NA,NA
"184","IBRD only",1961,313132532715.978,4.7722099746435,-527108,NA,NA,322.483578172049,408.660541805788,NA,58545739369.5179,NA
"185","IDA & IBRD total",1961,352678840006.761,5.09057409909552,-670672,NA,NA,333.407053379563,411.693591185007,NA,79825396125.7745,NA
"186","IDA total",1961,38951365491.7517,6.66944810693984,-143564,NA,NA,389.819279538194,427.032057890882,NA,NA,NA
"187","IDA blend",1961,12910165408.6878,6.62204632834566,-86311,NA,NA,398.074817759367,418.494753666588,NA,NA,NA
"188","IDA only",1961,26839180422.6166,6.69067281070587,-57253,NA,NA,386.132152036385,431.098265902486,NA,NA,NA
"189","India",1961,39232435784.0358,5.937,114181,NA,NA,394.154,396.855,NA,6181445807.17781,NA
"190","Ireland",1961,2088012282.35667,3.78,-22213,NA,NA,130.164,181.021,1112.1,NA,NA
"191","Iran, Islamic Rep.",1961,4426949094.8403,7.227,45680,NA,NA,387.779,374.821,NA,1213638197.53222,NA
"192","Iraq",1961,1831700364.04369,5.8,2981,NA,NA,225.511,363.326,NA,NA,NA
"193","Iceland",1961,253885656.329253,3.88,226,NA,NA,95.815,164.814,NA,NA,NA
"194","Israel",1961,3138500000,3.858,45137,NA,NA,NA,NA,NA,NA,NA
"195","Italy",1961,44842760293.1924,2.44,-133680,NA,NA,105.669,188.131,21474,NA,NA
"196","Jamaica",1961,748028839.423211,5.446,-29415,NA,NA,183.747,229.824,NA,NA,NA
"197","Japan",1961,53508617739.3778,2.05,-33403,1.39999997615814,NA,142.167,210.859,45623.33,NA,NA
"198","Kenya",1961,792959472.139024,7.718,4289,NA,NA,325.485,384.818,NA,NA,NA
"199","Cambodia",1961,642857134.285714,6.122,-3314,NA,NA,418.918,498.394,NA,NA,NA
"200","St. Kitts and Nevis",1961,12483229.3064224,NA,-2347,NA,NA,NA,NA,NA,NA,NA
"201","Korea, Rep.",1961,2417638423.22215,5.81,-73471,NA,NA,293.789,412.822,NA,283673848.797031,NA
"202","Latin America & Caribbean (excluding high income)",1961,71544948483.9939,5.9581199833443,-199424,NA,NA,252.958744980042,325.825827551877,NA,NA,NA
"203","Latin America & Caribbean",1961,89564494859.2671,5.85915230763735,-253994,NA,NA,248.160630734339,322.278458904837,NA,NA,NA
"204","Sri Lanka",1961,1444327731.09244,5.331,-11097,NA,NA,206.862,273.045,NA,216356994.264706,NA
"205","Lower middle income",1961,96427143528.1364,5.97232426071823,-283992,NA,NA,351.802703980773,385.492050540824,NA,NA,NA
"206","Low & middle income",1961,327562580170.945,5.13837789990037,-664935,NA,NA,339.258055319584,416.864268801443,NA,75523619930.5198,NA
"207","Lesotho",1961,35699286.0142797,5.811,2772,NA,NA,274.481,450.426,NA,NA,NA
"208","Late-demographic dividend",1961,177908278708.434,4.00201174280574,-373030,NA,NA,318.796339981955,438.172967225669,NA,32533047990.2271,NA
"209","Luxembourg",1961,704145671.350213,NA,1993,NA,NA,114.155,212.821,NA,NA,NA
"210","Morocco",1961,2025689536.60705,7.072,-41561,NA,NA,416.744,466.247,NA,229133346.507262,NA
"211","Madagascar",1961,699161943.864184,7.301,0,NA,NA,430.669,470.69,NA,NA,NA
"212","Mexico",1961,1.416e+10,6.777,-56177,NA,NA,259.14,340.533,NA,2199456000,NA
"213","Middle income",1961,314172952462.267,5.04499448447258,-590872,NA,NA,335.291530669319,413.81074389394,NA,74685678690.8877,NA
"214","Myanmar",1961,584351384.464088,5.982,11972,NA,NA,387.205,450.677,NA,NA,NA
